0,1
msg_enter_valid_secondary_mobile_number,Enter valid secondary mobile number!
msg_error_while_fetching_seat_chart,Error while fetching seat chart!
msg_error_while_adding_penalties,Error while adding penalties!
msg_error_while_adding_expense,Error while adding expense!
msg_error_while_blocking_chart,Error while blocking chart! Try again!
msg_error_while_cancelling_ticket,Error while cancelling ticket!
msg_error_while_fetching_bus_numbers,Error while fetching bus numbers!
msg_error_while_fetching_the_latest,Error while fetching the latest pickups/dropoffs!
msg_error_while_fetching_concession_pass,Error while fetching concession pass
msg_error_while_fetching_the_route,Error while fetching the route!
msg_error_while_getting_bus_numbers,Error while getting bus numbers!
msg_error_while_modifying_seats,Error while modifying seats! Try again!
msg_error_while_loading_report,Error while loading report!
msg_error_while_loading_seat,Error while loading seat chart!
msg_error_while_sending_sms,Error while sending SMS!
msg_error_while_sending_otp,Error while sending otp!
msg_error_while_fetching_seat,Error while fetching seat chart
msg_error_while_fetching_sub_routes,Error while fetching sub routes!
msg_error_while_getting_trips,Error while getting trips!
msg_error_while_transferring_seat,Error while transferring seat! Try again!
msg_error_while_verifying_otp,Error while verifying otp!
msg_failed_to_generate_order_id_try_again,"Failed to generate order ID, try again or try a different payment mode"
msg_failed_to_scan_qr,Failed to scan QR
msg_failed_to_scan_invalid_qr_code,"Failed to scan , Invalid qr code"
msg_failed_to_store_logo,Failed to store logo..
msg_failed_to_validate_pin,"Failed to validate , Invalid PIN"
msg_failed_to_scan,"Failed to scan , Invalid Qr Code !"
msg_fare_cannot_be_zero,Fare cannot be zero !!
msg_fare_change_not_allowed,Fare change not allowed
msg_fare_should_be_greater_than_zero,Fare should be greater than zero..
